Id,NamePt,DescriptionPt,Image,Gi,Calories,Acidification,Carbohydrates,Ashes,Proteins,SaturedFats,MonounsaturatedFats,PolyunsaturatedFats,Cholesterol,TotalFat,DietaryFiber,Sugar,Gl,UnitOfMeasurement,IsRecipe,Icon,Keys,Type,A,Alanine,AlphaCarotene,Arginine,AsparticAcid,B1,B11,B12,B2,B3,B5,B6,B7,B9,BetaCarotene,C,Calcium,Choline,Copper,CryptoxanthinCarotene,Cystine,D,D2,D3,E,Fluoride,GlutamicAcid,Glutamine,Glycine,Histidine,Iron,Isoleucine,K,Leucine,Lycopene,Lysine,Magnesium,Manganese,Methionine,Phenylalanine,Phosphorus,Potassium,Proline,Selenium,Serine,Sodium,Threonine,Tryptophan,Tyrosine,Valine,Zinc,Description,Name
1,Abacate,"",https://images.unsplash.com/photo-1612215047504-a6c07dbe4f7f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,15,160,0,8.53,0,2,2.126,0,0,0,14.66,0,0,0,0,f,/images/food/avocado.svg,avocado,4,7,109,24,88,236,0,0,0,0.13,1.738,0,0.257,0,0,62,10,12,14.2,0.19,0,27,0,0,0,0,0,287,0,104,49,0.55,84,21,143,0,132,29,0.142,38,97,52,485,98,0,114,7,73,25,49,107,0.64,"",""
2,Abacaxi,"",https://images.unsplash.com/photo-1572859730774-2cb70677d258?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=667&q=80,59,50,0,13.12,0,0.54,0.009,0,0,0,0.12,0,0,0,0,f,/images/food/pineapple.svg,"",4,3,33,0,19,121,0,0,0,0.032,0.5,0,0.112,0,0,35,47.8,13,5.5,0.11,0,14,0,0,0,0,0,79,0,24,10,0.29,19,0.7,24,0,26,12,0.927,12,21,8,109,17,0,35,1,19,5,19,24,0.12,"",""
3,Abóbora cabotiá,"",https://s2-casaejardim.glbimg.com/dceQ0PD9qpjhKg9j5SXHyDP7BGc=/0x0:1400x933/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_a0b7e59562ef42049f4e191fe476fe7d/internal_photos/bs/2023/t/w/VYO1UJQJmPzyxE3YbaPQ/receitas-abobora-cabotia-como-fazer-freepik.jpg,0,48.043743,0,10.760917,0.712,1.44375,0.1,0.2,0.2,0,0.72933334,2.4626667,0,0,0,f,/images/food/pumpkin.png,"abóbora, abobora, abobra, jerimum, abobora cabotian, abóbora cabotian",4,0,0,0,0,0,0.07666667,0,0,0,0,0,0.07,0,0,0,7.463333,7.6256666,0,0.061333332,0,0,0,0,0,0,0,0,0,0,0,0.34533334,0,0,0,0,0,9.111,0.26066667,0,0,32.595,199.10234,0,0,0,1.4516667,0,0,0,0,0.28633332,"",""
4,Abobrinha,"",https://images.unsplash.com/photo-1580294672673-4fbda48428be?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=870&q=80,0,17,0,3.11,0,1.21,0.084,0,0,0,0.32,0,0,0,0,f,/images/food/zucchini.png,"abobrinha, abobrinha italiana",4,10,63,0,51,147,0,0,0,0.094,0.451,0,0.163,0,0,120,17.9,16,9.5,0.053,0,12,0,0,0,0,0,129,0,46,26,0.37,44,4.3,71,0,67,18,0.177,18,43,38,261,37,0,49,8,29,10,32,54,0.32,"",""
5,Achocolatado em pó,"",https://amochocolate.net/wp-content/uploads/2019/12/Diferen%C3%A7a-entre-chocolate-em-p%C3%B3-e-achocolatado-1.jpg,0,368.5548,0,94.45,1.3756666,0.7583333,0,0,0,0,0.092,0,0,0,0,f,/images/food/cocoa.png,"achocoltado, achocolatado em pó, nescau",14,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,126.529,0,0.17133333,0,0,0,0,0,0,0,0,0,0,0,8.303667,0,0,0,0,0,79.94666,2.026,0,0,38.16,521.62665,0,0,0,25.204,0,0,0,0,0.47766668,"",""
6,Açúcar branco,"",https://udop.com.br/u_img/noticias/2020/acucar33.jpg,92,558.87634,0,55.376835,1.8053334,7.4125,14.1,9.3,3.2,15.501333,34.191,2.458,0,0,0,f,/images/food/sugar.svg,"açúcar, açucar, açúcar refinado, açúcar branco, açucar refinado",14,36.15333,0,0,0,0,0.04,0,0,0.24333334,1.3666667,0,0,0,0,0,1.42,171.23267,0,0.452,0,0,0,0,0,0,0,0,0,0,0,1.471,0,0,0,0,0,79.566,0.36366665,0,0,302.522,430.91568,0,0,0,64.05,0,0,0,0,1.304,"",""
7,Açúcar cristal,"",https://www.planusi.com.br/admin/public/img/thumb-precos-do-acucar-cristal-seguem-em-alta-no-spot-paulista-9773361543.png,0,386.57483,0,99.54,0,0.32,0,0,0,0,0,0,0,0,0,f,/images/food/sugar.svg,"açúcar cristal, açucar cristal",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10666667,0,0,0,0,0,0.5466667,0,0,0,0,6.3533335,0,0,0,12.16,0,0,0,0,0,"",""
8,Açúcar mascavo,"",https://superbeal.com.br/img/news/site_5d653235ca208.png,80,539.5867,0,59.576668,1.68,7.22,17.5,10,0.9,16.5175,30.266666,2.17,0,0,0,f,/images/food/sugar.svg,"açúcar escuro, açúcar integral",14,0,0,0,0,0,0.05,0,0,0.21666667,0.63,0,0.59,0,0,0,0,191.19,2.3,0.31333333,0,0,0,0,0,0,0,0,0,0,0,1.5766667,0,0,0,0,0,57.1,0.30266666,0,0,212.11333,354.51334,0,0,0,77.1,0,0,0,0,1.0633334,"",""
9,Água,"",https://images.unsplash.com/photo-1612392549274-9afb280ce7a9?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,f,/images/food/water.svg,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0.01,"",""
10,Água de coco,"",https://media.istockphoto.com/photos/coconut-drink-with-pulp-in-glass-on-wooden-table-picture-id526133774?b=1&k=20&m=526133774&s=170667a&w=0&h=0OifDfpyMrzYuy2fy-D-FRlucUJx2IjXJGK47vk4X7s=,0,33.5142,0,8.66,0.06333333,0.72,0.176,0,0,0,0.2,0,0,0,0,f,/images/food/coconut-water.png,"coco, agua de coco, água de coco",0,0,37,0,118,70,0,0,0,0.057,0.08,0,0.032,0,0,0,2.4,1.3723333,1.1,0.04,0,14,0,0,0,0,0,165,0,34,17,0.29,28,0,53,0,32,25,0.142,13,37,16.677334,0.905,30,0,37,7.1193333,26,8,22,44,0.1,"",""
11,Água tônica,Refrigerante água tônica,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTPmrat6BsytvikRaNJtzOjhJYVqm3qDECfA&usqp=CAU,0,38.7,0,10,0.043333333,0,0,0,0,0,0,0,0,0,0,f,/images/food/baking-soda.png,"agua tonica, água tonica, tônica, tonica, água tônica, refrigerante tônico",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4076667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3813334,0,0,0,9.009666,0,0,0,0,0,"",""
12,Aipim,"",https://a-static.mlcdn.com.br/618x463/aipim/fruitexpress/1878daaecaf611eb86614201ac18500e/a80c447bae57a657277ef1e2516cb498.jpg,0,160,0,38.06,0,1.36,0.074,0,0,0,0.28,0,0,0,0,f,/images/food/cassava.png,"mandioca, macacheira, cassava",5,1,38,0,137,79,0,0,0,0.048,0.854,0,0.088,0,0,8,20.6,16,23.7,0.1,0,28,0,0,0,0,0,206,0,28,20,0.27,27,1.9,39,0,44,21,0.384,11,26,27,271,33,0,33,14,28,19,17,35,0.34,"",""
13,Alecrim,"",https://images.unsplash.com/photo-1603129624917-3c579e864025?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=870&q=80,0,131,0,20.7,0,3.31,2.838,0,0,0,5.86,0,0,0,0,f,/images/food/rosemary.png,"alecrim, ramo de alecrim, ramos de alecrim",2,146,172,0,153,391,0,0,0,0.152,0.912,0,0.336,0,0,0,21.8,317,0,0.301,0,37,0,0,0,0,0,361,0,159,66,6.65,136,0,249,0,143,91,0.96,47,169,66,668,136,0,129,26,136,51,100,165,0.93,"",""
14,Aipo,"",https://www.cervejapetra.com.br/wp-content/uploads/2017/10/Sals%C3%A3o-min-945x486.jpg,0,19.091457,0,4.272333,1.0723333,0.7583333,0,0,0,0,0.069,0.957,0,0,0,f,/images/food/celery.png,"aipo, salsão, salsa em ponto grande, talo de aipo, talo de salsão, talo de salsa em ponto grande",7,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,5.88,65.22467,0,0.31433332,0,0,0,0,0,0,0,0,0,0,0,0.72033334,0,0,0,0,0,8.860333,0.178,0,0,28.045666,273.60367,0,0,0,9.515667,0,0,0,0,0.14266667,"",""
